Description,Field Name,Values
Score combines known children's ages and when not available an Experian model predicting the likelihood a child within the age group is present in the living unit. Score=000-101; where 101 is known and lower scores indicate less likelihood of a child in the LU for this age range. 000-not coded.,Child Age 7-9 Present,Number where higher value indicates higher likelihood of child present for age range.
Score combines known children's ages and when not available an Experian model predicting the likelihood a child within the age group is present in the living unit. Score=000-101; where 101 is known and lower scores indicate less likelihood of a child in the LU for this age range. 000-not coded.,Child Age 10-12 Present,Number where higher value indicates higher likelihood of child present for age range.
Score combines known children's ages and when not available an Experian model predicting the likelihood a child within the age group is present in the living unit. Score=000-101; where 101 is known and lower scores indicate less likelihood of a child in the LU for this age range. 000-not coded.,Child Age 1-15 Present,Number where higher value indicates higher likelihood of child present for age range.
Score combines known children's ages and when not available an Experian model predicting the likelihood a child within the age group is present in the living unit. Score=000-101; where 101 is known and lower scores indicate less likelihood of a child in the LU for this age range. 000-not coded.,Child Age 16-18 Present,Number where higher value indicates higher likelihood of child present for age range.
"A combination of known children's ages and where not available, an Experian model which predicts the likelihood that a child within the age group is present in the living unit.",Presence of Child,"00=Deceased and Child only households,1Y=Known Data,5N=Not Likely to have a child,5U=Modeled Not as Likely to have a child,5Y=Modeled Likely to have a child"
Mortgage amount is determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Value in thousands.,Home Purchase Mortgage Amount,$
"The purchase amount in thousands for the investment property. Determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Valid values: 0001-9999, 0000=Unknown.",Investment Property: Purchase Amount,$
The mortgage lender for the investment property. The name of the original mortgage lender or individual. Mortgage lender name is determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located.,Investment Property: Mortgage Lender,Text
Mortgage term for the investment property. Determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Values in months.,Investment Property: Mortgage Term,Number of Months
"The equity amount for the investment property. Determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located. Values in thousands. 0001-9999, 0000=Unknown",Investment Property: Equity Amount,Value in Thousands of $
The square footage of any buildings associated with the home determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located.,Property/Realty: Building square footage ranges,"A=100-999,B=1000-2999,C=3000-4999,D=5000-5999,E=6000-9999,F=10000+,U=Unknown"
"Purchase amount is determined from taxes paid when the grant/warranty deed is recorded in the county where the property is located, or it is estimated from the loan amount or legal documents filed at the county recorder's office.",Mortgage/Home Purchase: Purchase amount ranges,"A=1,000-9,999,B=10,000-24,999,C=25,000-39,999,D=40,000-59,999,E=60,000-79,999,F=80,000-99,999,G=100,000-119,999,H=120,000-139,999,I=140,000-159,999,J=160,000-199,999,K=200,000-249,999,L=250,000-349,999,M=350,000-449,999,N=450,000-749,999,O=750,000-999,999,P=1MM+,U=Unknown"
Mortgage amount is determined from grant/warranty deed information recorded or other legal documents filed at the county recorder's office in the county where the property is located.,Mortgage/Home Purchase: Mortgage amount ranges,"A=1,000-9,999,B=10,000-24,999,C=25,000-39,999,D=40,000-59,999,E=60,000-79,999,F=80,000-99,999,G=100,000-119,999,H=120,000-139,999,I=140,000-159,999,J=160,000-199,999,K=200,000-249,999,L=250,000-349,999,M=350,000-449,999,N=450,000-749,999,O=750,000-999,999,P=1MM+,U=Unknown"
"GreenAware Segmentation targeting system includes attitudes, opinions, lifestyle, buying behavior, and media usage. Based on the distinctive mindset of consumers towards the environment, we can better understand four distinct consumer segments: 1. Behavioral Greens: This group of people thinks and acts green, holds negative attitudes toward products that pollute, incorporate green practices on a regular basis. 2. Think Greens: This group of people thinks green but does not necessarily act green. 3. Potential Greens: They neither behave nor think along particularly environmentally conscious lines, and remain on the fence about key green issues. 4. True Browns: This group of people are not environmentally conscious, and may in fact have negative attitudes about the green movement.",Green Aware Household,"0=Unknown,1=Behavioral Greens,2=Think Greens,3=Potential Greens,4=True Browns"
"Online Overall Buyer propensity model provides a measure to rank order all ConsumerView households on the likelihood that those consumers would buy online relative to all product categories. The model will rank order all households on ConsumerView from 01-99 based on their likelihood to purchase online within that category. The higher the number, the more likely they are to purchase online regardless of the product category.",Likelihood to Purchase Online,"01-99, 00=Unknown; higher number more likely to purchase online"
"Retail Overall Buyer propensity model provides a measure to rank order all ConsumerView households on the likelihood that those consumers would buy at a retail location relative to all product categories. The model will rank order all households on ConsumerView from 01-99 based on their likelihood to purchase at a retail location within that category. The higher the number, the more likely they are to purchase at a retail location regardless of the product category.",Likelihood to Purchase at Retail Location,"01-99, 00=Unknown; higher number more likely to purchase at retail location"
"The HH Composition Code is based on the composition of males, females and children within the living unit. HH Composition Code is created through a calculation using the person information Experian has in the ConsumerView repository for the respective living unit. The calculation is based on the entire ConsumerView universe (prior to filters for deliverability, do not mail, etc.). For each HH the adult males, females and children are counted; then the HH is coded A-J. The code that the HH qualifies for first will be assigned to the record. Each HH can only be assigned one code. Note: In Enrichment, 0=Non-match.",Household Composition,"A= HH w/1 adult F (no adult M - no child),B= HH w/1 adult M (no adult F - no child),C= HH w/1 adult F and 1 adult M (no child),D= HH w/1 adult F + 1 adult M and child present,E= HH w/1 adult F and child present (no adult M),F= HH w/1 adult M and child present (no adult F),G= HH w/2 + adult M (no child - may have adult F),H= HH w/2 + adult F (no child - may have adult M),I= HH w/2 + adult M w/ child present (adult F pos),J= HH w/2 + adult F w/ child present (adult M pos),U=Unable to code"
"Original loan to value ratio is a percentage of the original home mortgage loan amount divided by the original purchase value of the home. The higher the ratio, the less equity the homeowner has on the house. This ratio is available on wherever the loan amount and estimated current home value are available. Values: 01-99, 00=Unknown.",Home: Original Loan to Value,Higher % ratio = less equity in home
"Percentage calculated by dividing the down payment amount by the purchase price of the home. Values: 001-100, 000 = Unknown",Home: Down Payment %,%
"Length of Residence (LOR) is the length of time a Living Unit has resided at their current address. A primary source of LOR is public source white page compilation initiating a counter showing the first time a name and number appear in the directory. LOR information is also received from proprietary sources and through updates of our source files against the USPS National Change of Address* file. For all sources, LOR data is aged over time. When there is insufficient data to match a customer's record to our Enhancement master for Length of Residence, a median LOR based on the LOR's assigned to other living units in the same ZIP+4 area is used. In the rare case that the ZIP+4 is not on the record, median LOR is based on the LOR's assigned to other records in that ZIP region. The median level data applied to records for this element can be identified through the Enhancement Mandatory Append - Total Enhancement Match Type indicator (E). Values: 00 = Less than a Year 01-99 = 1 - 99 Years",Length of Residence,Values: 00 = Less than a Year 01-99 = 1 - 99 Years
DU Size median,Dwelling Size in Livable Units,"A=SFDU,B=Duplex,C=triplex,D=4,E=5-9,F=10-19,G=20-49,H=50-100,I=101+"
"Number of Children in Household information is calculated from the number of records in a household that indicate children whose age is 18 or younger. When there is insufficient data to match a customer's record to our Enhancement master for Number of Children, a median number of children based on the number of children present in other living units in the same ZIP+4 area is used. In the rare case that the ZIP+4 is not on the record, median number of children is based on the number of children present in other records in that ZIP region. The median level data applied to records for this element can be identified through the Enhancement Mandatory Append - Total Enhancement Match Type indicator (E). Values: 0 = Unknown 1 = 1 Child 2 = 2 Children 3 = 3 Children 4 = 4 Children 5 = 5 Children 6 = 6 Children 7 = 7 Children 8 = 8+ Children",Number of Children in Home,"0=0 Children,1=1 Children,2=2 Children,3=3 Children,4=4 Children,5=5 Children,6=6 Children,7=7 Children,8=8 Children,blank=Blank"
Number of adults on record,Number of Adults in Home,"0=0 Adults,1=1 Adults,2=2 Adults,3=3 Adults,4=4 Adults,5=5 Adults,6=6 Adults,7=7 Adults,8=8 Adults,blank=Blank"
Indicates the gender of the children within the 0-3 age group,Children by Age/Gender,"B=Both,Blank=Blank,F=Female,M=Male,U=Unknown"
Indicates the gender of the children within the 4-6 age group,Children by Age/Gender,"B=Both,Blank=Blank,F=Female,M=Male,U=Unknown"
Indicates the gender of the children within the 7-9 age group,Children by Age/Gender,"B=Both,Blank=Blank,F=Female,M=Male,U=Unknown"
Indicates the gender of the children within the 10-12 age group,Children by Age/Gender,"B=Both,Blank=Blank,F=Female,M=Male,U=Unknown"
Indicates the gender of the children within the 13-15 age group.,Children by Age/Gender,"B=Both,Blank=Blank,F=Female,M=Male,U=Unknown"
Indicates the gender of the children within the 16-18 age group,Children by Age/Gender,"B=Both,Blank=Blank,F=Female,M=Male,U=Unknown"
Activities and Interests/Collecting. Direct reported survey data that represents a household's interest in collecting Other Collectibles. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Collecting:Other Collectibles,"U=unknown,Y=yes"
Activities and Interests/Collecting. Direct reported survey data that represents a household's interest in collecting Art/Antiques. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Collecting:Art/Antiques,"U=unknown,Y=yes"
Activities and Interests/Collecting. Direct reported survey data that represents a household's interest in collecting Stamps/Coins. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Collecting:Stamps/Coins,"U=unknown,Y=yes"
Activities and Interests/Collecting. Direct reported survey data that represents a household's interest in collecting Dolls. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Collecting:Dolls,"U=unknown,Y=yes"
Activities and Interests/Collecting. Direct reported survey data that represents a household's interest in collecting Figurines. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Collecting:Figurines,"U=unknown,Y=yes"
Activities and Interests/Collecting. Direct reported survey data that represents a household's interest in collecting Sports Memorabilia. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Collecting:Sports Memorabilia,"U=unknown,Y=yes"
Activities and Interests/Cooking and Entertaining. Direct reported survey data that represents a household's interest in Cooking. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Cooking/Entertaining:Cooking,"U=unknown,Y=yes"
Activities and Interests/Cooking and Entertaining. Direct reported survey data that represents a household's interest in Baking. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Cooking/Entertaining:Baking,"U=unknown,Y=yes"
Activities and Interests/Cooking and Entertaining. Direct reported survey data that represents a household's interest in Cooking- Weight Conscience. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Cooking/Entertaining:Cook/Weight Con,"U=unknown,Y=yes"
Activities and Interests/Cooking and Entertaining. Direct reported survey data that represents a household's interest in Wine Appreciation. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Cooking/Entertaining:Wine Appreciation,"U=unknown,Y=yes"
Activities and Interests/Cooking and Entertaining. Direct reported survey data that represents a household's interest in Cooking- Gourmet. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Cooking/Entertaining:Cooking- Gourmet,"U=unknown,Y=yes"
Activities and Interests/Crafts. Direct reported survey data that represents a household's interest in Crafts. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Crafts:Crafts,"U=unknown,Y=yes"
Activities and Interests/Crafts. Direct reported survey data that represents a household's interest in Knittingeedlework. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Crafts:Knitting/Needlework,"U=unknown,Y=yes"
Activities and Interests/Crafts. Direct reported survey data that represents a household's interest in Quilting. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Crafts:Quilting,"U=unknown,Y=yes"
Activities and Interests/Crafts. Direct reported survey data that represents a household's interest in Sewing. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Crafts:Sewing,"U=unknown,Y=yes"
Activities and Interests/Crafts. Direct reported survey data that represents a household's interest in Woodworking. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Crafts:Woodworking,"U=unknown,Y=yes"
Activities and Interests/Health and Fitness. Direct reported survey data that represents a household's interest in Losing Weight. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Health/Fitness:Losing Weight,"U=unknown,Y=yes"
Activities and Interests/Health and Fitness. Direct reported survey data that represents a household's interest to Include Vitamin Supplements. Valid Values: Y = Yes U = Unknown,SRVY:HH Acty/Int:Health/Fitness:Vit Supplements,"U=unknown,Y=yes"
Activities and Interests/Health and Fitness. Direct reported survey data that represents a household's interest in Health and Natural Foods. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Health/Fitness:Hlth/Nat Foods,"U=unknown,Y=yes"
Activities and Interests/Hobbies. Direct reported survey data that represents a household's interest in Photography. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Hobbies:Photography Hobbies,"U=unknown,Y=yes"
Activities and Interests/Hobbies. Direct reported survey data that represents a household's interest in Gardening. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Hobbies:Gardening Hobbies,"U=unknown,Y=yes"
Activities and Interests/Hobbies. Direct reported survey data that represents a household's interest in Cars And Auto Repair. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Hobbies:Cars And Auto Repair,"U=unknown,Y=yes"
Activities and Interests/Hobbies. Direct reported survey data that represents a household's interest in Self-Improvement. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Hobbies:Self-Improvement,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in Christian/Gospel music. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:Christian/Gospel,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in R and B music. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:R And B,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in Jazzew Age music. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:Jazz/New Age,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in Classical music. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:Classical,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in Rock N Roll music. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:Rock N Roll,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in Country music. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:Country,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in Music In General. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:Music In General,"U=unknown,Y=yes"
Activities and Interests/Music. Direct reported survey data that represents a household's interest in Other music. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Music:Other Music,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Best Selling Fiction. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Best Selling Fiction,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Childrens Reading. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Childrens Reading,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Computer. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Computer,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Cooking/Culinary Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Cooking/Culinary,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Country Lifestyle. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Country Lifestyle,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Entertainment/People. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Entertainment/People,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Fashion. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Fashion,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in History. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:History,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Interior Decorating. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Interior Decorating,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Medical/Health. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Medical/Health,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Military. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Military,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Mystery. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Mystery,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Natural Health Remedies. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Natural Health Remedies,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Romance. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Romance,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Science Fiction. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Science Fiction,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Science echnology. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Science/Technology,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in Sports Reading. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Sports Reading,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's reading interest in World News/Politics. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:World News/Politics,"U=unknown,Y=yes"
Activities and Interests/Reading. Direct reported survey data that represents a household's interest in Book Reading. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Reading:Book Reader,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Animal Welfare social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Animal Wf Soc/Caus/Con,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Environment/Wildlife social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Environment/Wildlife,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Conservative Political causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Political- Conservative,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Political- Liberal social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Political- Liberal,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Children social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Children,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Veteran social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Veterans,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Health social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Hlty/Soc Cause/Con,"U=unknown,Y=yes"
Activities and Interests/Social Causes and Concerns. Direct reported survey data that represents a household's interest in Other social causes/concerns. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Socl Caus/Con:Othr Soc/Cause Con,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Baseball. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Baseball,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Basketball. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Basketball,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Hockey. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Hockey,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Camping/Hiking. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Camping/Hiking,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Hunting. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Hunting,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Fishing. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Fishing,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Nascar. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Nascar,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Personal Fitness/Exercise. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Personal Fitness/Exercise,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Scuba Diving. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Scuba Diving,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Football. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Football,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Golf. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Golf,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Snow Skiing/Boarding. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Snow Skiing/Boarding,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Boating/Sailing. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Boating/Sailing,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Walking. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Walking,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Cycling. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Cycling,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Motorcycles. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Motorcycles,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Running/Jogging. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Running/Jogging,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Soccer. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Soccer,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Swimming. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Swimming,"U=unknown,Y=yes"
Activities and Interests/Sports and Recreation. Direct reported survey data that represents a household's interest in Playing Sports In General. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sports/Rec:Play Sports In General,"U=unknown,Y=yes"
Activities and Interests/Sweepstakes. Direct reported survey data that represents a household's interest in Sweepstakes. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sweepstakes:Sweepstakes,"U=unknown,Y=yes"
Activities and Interests/Sweepstakes. Direct reported survey data that represents a household's interest in Lotteries. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Sweepstakes:Lotteries,"U=unknown,Y=yes"
Activities and Interests ravel. Direct reported survey data that represents a household's interest in Cruise travel. Valid Values: Y = Yes U = Unknown,HH:Acty/Int:Travel:Cruise,"U=unknown,Y=yes"
